n,k,freqs
3.4634242,-3.6272195e-05,1.7958172829130048
3.463414,-2.5942636e-05,1.80069722118179
3.4634092,-2.196783e-05,1.8055771594505754
3.4634204,-2.4528224e-05,1.8104570977193608
3.4634094,-6.911577e-05,1.815337035988146
3.4634163,-4.26216e-05,1.8202169742569314
3.4634235,-3.0085546e-05,1.8250969125257168
3.4633942,-4.2196123e-05,1.829976850794502
3.4634266,-2.0844574e-05,1.8348567890632874
3.4634354,-1.7317258e-05,1.8397367273320728
3.4634423,-5.075458e-05,1.844616665600858
3.463424,-6.1374434e-05,1.8494966038696434
3.4634337,-4.7048103e-05,1.8543765421384288
3.4634147,-5.702203e-05,1.859256480407214
3.4634054,-4.0410527e-05,1.8641364186759994
3.4634292,-5.623435e-05,1.8690163569447849
3.4634511,-5.6091994e-05,1.8738962952135703
3.4634237,-7.671573e-05,1.8787762334823555
3.463395,-7.1867835e-05,1.8836561717511409
3.4634237,-6.958227e-05,1.8885361100199263
3.4633915,-5.2461794e-05,1.8934160482887115
3.4634204,-4.746374e-05,1.8982959865574969
3.4633892,-4.4637814e-05,1.9031759248262823
3.4634144,-4.1988813e-05,1.9080558630950675
3.4634218,-8.184974e-05,1.9129358013638529
3.4634266,-6.108579e-05,1.9178157396326383
3.4633965,-6.909828e-05,1.9226956779014235
3.463412,-5.0234885e-05,1.927575616170209
3.4634209,-3.372728e-05,1.9324555544389943
3.4634278,-2.3382107e-05,1.9373354927077795
3.4634366,-4.5129396e-05,1.942215430976565
3.4634266,-4.3782187e-05,1.9470953692453503
3.46343,-7.826302e-05,1.9519753075141355
3.4634082,-7.588249e-05,1.956855245782921
3.463415,-5.5315428e-05,1.9617351840517063
3.463383,-5.0413964e-05,1.9666151223204915
3.463414,-5.0455816e-05,1.971495060589277
3.4634218,-4.0102797e-05,1.9763749988580623
3.4634335,-5.9796097e-05,1.9812549371268475
3.4634066,-8.600992e-05,1.986134875395633
3.4633913,-7.358161e-05,1.9910148136644183
3.4633822,-5.323952e-05,1.9958947519332035
